1,漫画,まんが,manga,comic book,n.,彼は漫画を読むのが好きです。,He likes to read comic books.,kare wa manga o yomu no ga suki desu.,Popular form of entertainment in Japan.
2, アニメ           , アニメ       , anime         , animation/cartoons  , n.             , 私はアニメが大好きです。       , I love anime.                    , watashi wa anime ga daisuki desu.     , Includes various genres.                
3, テレビドラマ     , てれびどらま , terebi dorama , TV drama            , n.             , そのテレビドラマは面白いです。 , That TV drama is interesting.    , sono terebi dorama wa omoshiroi desu. , Often serialized and popular.           
4, 番組             , ばんぐみ     , bangumi       , TV program          , n.             , 新しい番組が始まりました。     , A new program has started.       , atarashii bangumi ga hajimarimashita. , Can refer to any TV show.               
5, 果物             , くだもの     , kudamono      , fruit               , n.             , 果物をたくさん食べます。       , I eat a lot of fruit.            , kudamono o takusan tabemasu.          , Includes various types of fruits.       
6, 魚               , さかな       , sakana        , fish                , n.             , 魚が泳いでいます。             , The fish is swimming.            , sakana ga oyoideimasu.                , Common in Japanese cuisine.             
7, ダンス           , ダンス       , dansu         , dance               , n./G3          , ダンスが上手です。             , I am good at dancing.            , dansu ga jouzu desu.                  , Popular form of expression.             
8, スポーツ         , スポーツ     , supōtsu       , sports              , n./G3          , 彼女はスポーツが好きです。     , She likes sports.                , kanojo wa supōtsu ga suki desu.       , Includes many activities.               
9, 音楽             , おんがく     , ongaku        , music               , n.             , 音楽を聴くのが好きです。       , I like to listen to music.       , ongaku o kiku no ga suki desu.        , Various genres and styles.              
10, 金               , かね         , kane          , money               , n.             , お金が足りないです。           , I don’t have enough money.       , okane ga tarinai desu.                , Essential for transactions.             
11, チケット         , チケット     , chiketto      , ticket              , n.             , チケットを買いました。         , I bought a ticket.               , chiketto o kaimashita.                , Used for entry to events.               
12, 切符             , きっぷ       , kippu         , ticket              , n.             , 切符を忘れないでください。     , Please don’t forget the ticket.  , kippu o wasurenaide kudasai.          , Often used for transportation.          
13, 男               , おとこ       , otoko         , man                 , n.             , 彼は男です。                   , He is a man.                     , kare wa otoko desu.                   , Refers to adult males.                  
14, 女               , おんな       , onna          , woman               , n.             , 彼女は女です。                 , She is a woman.                  , kanojo wa onna desu.                  , Refers to adult females.                
15, 彼               , かれ         , kare          , he                  , n.             , 彼は学生です。                 , He is a student.                 , kare wa gakusei desu.                 ," Can also mean ""boyfriend.""              "
16, 彼女             , かのじょ     , kanojo        , she                 , n.             , 彼女は先生です。               , She is a teacher.                , kanojo wa sensei desu.                ," Can also mean ""girlfriend.""             "
