No.,Japanese (Kanji),Hiragana,Romaji,English Translation,Part of Speech,Example Sentence (Japanese),Example Sentence (English),Example Sentence (Romaji),Notes
 --- , ---------------- , -------------- , ----------- , ------------------------------- , -------------- , ---------------------------- , --------------------------------------- , ---------------------------------- , ------------------------------------------------------- 
 1   , 海外             , かいがい       , kaigai      , overseas                        , Noun           , 彼は海外に住んでいます。     , He lives overseas.                      , kare wa kaigai ni sundeimasu.      , Refers to foreign countries or abroad                   
 2   , ～部             , ～ぶ           , ～ bu       , department (in an organization) , Suffix         , 彼は営業部にいます。         , He is in the sales department.          , kare wa eigyōbu ni imasu.          , Used to specify a department in a company               
 3   , 事務             , じむ           , jimu        , office work                     , Noun           , 事務仕事は大変です。         , Office work is tough.                   , jimu shigoto wa taihen desu.       , Refers to administrative tasks                          
 4   , 手帳             , てちょう       , techoo      , pocket notebook                 , Noun           , 手帳に予定を書きます。       , I write plans in my pocket notebook.    , techoo ni yotei o kakimasu.        ," A small, portable notebook                              "
 5   , ノート           , ノート         , nooto       , notebook                        , Noun           , ノートを買いました。         , I bought a notebook.                    , nooto o kaimashita.                , Commonly used for writing notes                         
 6   , 名刺             , めいし         , meeshi      , business card                   , Noun           , 名刺を交換しました。         , I exchanged business cards.             , meeshi o kōkan shimashita.         , Used for professional networking                        
 7   , 万年筆           , まんねんひつ   , mannenhitsu , fountain pen                    , Noun           , 万年筆で手紙を書きます。     , I write letters with a fountain pen.    , mannenhitsu de tegami o kakimasu.  , A type of pen used for formal writing                   
 8   , 鉛筆             , えんぴつ       , empitsu     , pencil                          , Noun           , 鉛筆で絵を描きます。         , I draw pictures with a pencil.          , empitsu de e o kakimasu.           , Common tool for writing and drawing                     
 9   , ボールペン       , ボールペン     , boorupen    , ballpoint pen                   , Noun           , ボールペンでメモを取ります。 , I take notes with a ballpoint pen.      , boorupen de memo o torimasu.       , A pen with a rolling ball tip                           
 10  , パソコン         , パソコン       , pasokon     , personal computer               , Noun           , パソコンを使っています。     , I am using a personal computer.         , pasokon o tsukatteimasu.           , Refers to a desktop or laptop computer                  
 11  , コンピューター   , コンピューター , kompyuutaa  , computer                        , Noun           , コンピューターが壊れました。 , The computer is broken.                 , konpyuutaa ga kowaremashita.       , Another term for a computer                             
 12  , 机               , つくえ         , tsukue      , desk                            , Noun           , 机の上に本があります。       , There is a book on the desk.            , tsukue no ue ni hon ga arimasu.    , Furniture used for working or studying                  
 13  , 椅子             , いす           , isu         , chair                           , Noun           , 椅子に座ってください。       , Please sit on the chair.                , isu ni suwatte kudasai.            , Furniture used for sitting                              
 14  , 時計             , とけい         , tokei       , clock                           , Noun           , 時計は壁に掛けています。     , The clock is hanging on the wall.       , tokei wa kabe ni kaketeimasu.      , Used to tell time                                       
 15  , 絵               , え             , e           , picture                         , Noun           , 壁に絵がかかっています。     , There is a picture hanging on the wall. , kabe ni e ga kakatteimasu.         , Visual art or illustration                              
 16  , 猫               , ねこ           , neko        , cat                             , Noun           , 猫が寝ています。             , The cat is sleeping.                    , neko ga neteimasu.                 , Common pet animal                                       
 17  , 犬               , いぬ           , inu         , dog                             , Noun           , 犬が散歩しています。         , The dog is taking a walk.               , inu ga sanpo shiteimasu.           , Common pet animal                                       
 18  , 上               , うえ           , ue          , top/on/above                    , Noun/Adverb    , 本は机の上にあります。       , The book is on the desk.                , hon wa tsukue no ue ni arimasu.    , Indicates position higher than something                
 19  , 下               , した           , shita       , under/below                     , Noun/Adverb    , ソファの下に猫がいます。     , The cat is under the sofa.              , sofa no shita ni neko ga imasu.    , Indicates position lower than something                 
 20  , 左               , ひだり         , hidari      , left                            , Noun/Adverb    , 左に曲がってください。       , Please turn left.                       , hidari ni magatte kudasai.         , Directional term for left                               
 21  , 右               , みぎ           , migi        , right                           , Noun/Adverb    , 右にあります。               , It is on the right.                     , migi ni arimasu.                   , Directional term for right                              
 22  , 隣               , となり         , tonari      , next to                         , Noun           , 隣の部屋にいます。           , I am in the next room.                  , tonari no heya ni imasu.           , Refers to an adjacent or neighboring place              
 23  , 会議             , かいぎ         , kaigi       , meeting                         , Noun           , 会議は午後 2 時からです。    , The meeting is from 2 p.m.              , kaigi wa gogo ni-ji kara desu.     , A gathering for discussion or work                      
 24  , 会議室           , かいぎしつ     , kaigishitsu , meeting room                    , Noun           , 会議室は 3 階にあります。    , The meeting room is on the 3rd floor.   , kaigishitsu wa san-gai ni arimasu. , Room used for meetings                                  
 25  , 午前             , ごぜん         , gozen       , morning/a.m.                    , Noun/Time      , 午前 9 時に会議があります。  , There is a meeting at 9 a.m.            , gozen ku-ji ni kaigi ga arimasu.   , Refers to the time before noon                          
 26  , 午後             , ごご           , gogo        , afternoon/p.m.                  , Noun/Time      , 午後 3 時に終わります。      , It ends at 3 p.m.                       , gogo san-ji ni owarimasu.          , Refers to the time after noon                           
 27  , ここ             , ここ           , koko        , here                            , Adverb         , ここに座ってください。       , Please sit here.                        , koko ni suwatte kudasai.           , Refers to the location of the speaker                   
 28  , そこ             , そこ           , soko        , there                           , Adverb         , そこに本があります。         , There is a book over there.             , soko ni hon ga arimasu.            , Refers to a location close to the listener              
